Title,Actors,Description
Just Go with It,"Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
Revolutionary Road,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.
The Town,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down."
The Boy,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton","An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."
Denial,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott","Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel."
Predestination,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West","For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos."
Goosebumps,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee","A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware."
Sherlock Holmes: A Game of Shadows,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams","Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty."
Salt,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",A CIA agent goes on the run after a defector accuses her of being a Russian spy.
Enemy,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon,Isabella Rossellini",A man seeks out his exact look-alike after spotting him in a movie.
District 9,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt",An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.
The Other Guys,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize -- only things don't quite go as planned.
American Gangster,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin","In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East."
Marie Antoinette,"Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles."
2012,"John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.
Harry Potter and the Half-Blood Prince,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
Argo,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980."
Eddie the Eagle,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley","The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics."
The Lives of Others,"Ulrich Mühe, Martina Gedeck,Sebastian Koch, Ulrich Tukur","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
Pet,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy,Da'Vone McDonald","A psychological thriller about a man who bumps into an old crush and subsequently becomes obsessed with her, leading him to hold her captive underneath the animal shelter where he works. ... See full summary »"
Paint It Black,"Alia Shawkat, Nancy Kwan, Annabelle Attanasio,Alfred Molina",A young woman attempts to deal with the death of her boyfriend while continuously confronted by his mentally unstable mother.
Macbeth,"Michael Fassbender, Marion Cotillard, Jack Madigan,Frank Madigan","Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself."
Forgetting Sarah Marshall,"Kristen Bell, Jason Segel, Paul Rudd, Mila Kunis","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend."
The Giver,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift","In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world."
Triple 9,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie,Aaron Paul",A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.
Perfetti sconosciuti,"Giuseppe Battiston, Anna Foglietta, Marco Giallini,Edoardo Leo","Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles."
Angry Birds,"Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph","Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to."
Moonrise Kingdom,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Hairspray,"John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer",Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.
Safe Haven,"Julianne Hough, Josh Duhamel, Cobie Smulders,David Lyons","A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her."
Focus,"Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop."
Ratatouille,"Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
Stake Land,"Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones",Martin was a normal teenage boy before the country collapsed in an empty pit of economic and political disaster. A vampire epidemic has swept across what is left of the nation's abandoned ... See full summary »
The Book of Eli,"Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind."
Cloverfield,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.
Point Break,"Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer","A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists."
Under the Skin,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell","A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery."
I Am Legend,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
Men in Black 3,"Will Smith, Tommy Lee Jones, Josh Brolin,Jemaine Clement",Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.
Super 8,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
Law Abiding Citizen,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney",A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.
Up,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer","Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway."
Maze Runner: The Scorch Trials,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Giancarlo Esposito","After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles."
Carol,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler",An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.
Imperium,"Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell","A young FBI agent, eager to prove himself in the field, goes undercover as a white supremacist."
Youth,"Michael Caine, Harvey Keitel, Rachel Weisz, Jane Fonda",A retired orchestra conductor is on holiday with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.
Mr. Nobody,"Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
City of Tiny Lights,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo","In the teeming, multicultural metropolis of modern-day London, a seemingly straightforward missing-person case launches a down-at-heel private eye into a dangerous world of religious fanaticism and political intrigue."
Savages,"Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively,Benicio Del Toro",Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.
(500) Days of Summer,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her."
Movie 43,"Emma Stone, Stephen Merchant, Richard Gere, Liev Schreiber",A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.
Gravity,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Two astronauts work together to survive after an accident which leaves them alone in space.
The Boy in the Striped Pyjamas,"Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien","Set during WWII, a story seen through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, whose forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
Shooter,"Mark Wahlberg, Michael Peña, Rhona Mitra, Danny Glover","A marksman living in exile is coaxed back into action after learning of a plot to kill the President. Ultimately double-crossed and framed for the attempt, he goes on the run to find the real killer and the reason he was set up."
The Happening,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez","A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide."
Bone Tomahawk,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins",Four men set out in the Wild West to rescue a group of captives from cannibalistic cave dwellers.
Magic Mike XXL,"Channing Tatum, Joe Manganiello, Matt Bomer,Adam Rodriguez","Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance."
Easy A,"Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd",A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
Exodus: Gods and Kings,"Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver","The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 600,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues."
Chappie,"Sharlto Copley, Dev Patel, Hugh Jackman,Sigourney Weaver","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself."
The Hobbit: The Desolation of Smaug,"Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
Half of a Yellow Sun,"Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose,Joseph Mawle","Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic."
Anthropoid,"Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr.","Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler."
The Counselor,"Michael Fassbender, Penélope Cruz, Cameron Diaz,Javier Bardem",A lawyer finds himself in over his head when he gets involved in drug trafficking.
Viking,"Anton Adasinsky, Aleksandr Armer, Vilen Babichev, Rostislav Bershauer","Kievan Rus, late 10th century. After the death of his father, the young Viking prince Vladimir of Novgorod is forced into exile across the frozen sea."
Whiskey Tango Foxtrot,"Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina",A journalist recounts her wartime coverage in Afghanistan.
Trust,"Clive Owen, Catherine Keener, Liana Liberato,Jason Clarke",A teenage girl is targeted by an online sexual predator.
Birth of the Dragon,"Billy Magnussen, Terry Chen, Teresa Navarro,Vanessa Ross","Young, up-and-coming martial artist, Bruce Lee, challenges legendary kung fu master Wong Jack Man to a no-holds-barred fight in Northern California."
Elysium,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga","In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
The Green Inferno,"Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton","A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished."
Godzilla,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe","The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."
The Bourne Legacy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn","An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
A Good Year,"Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard","A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold."
Friend Request,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan","When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends."
Deja Vu,"Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer","After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims."
Lucy,"Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked","A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
A Quiet Passion,"Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine","The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist."
Need for Speed,"Aaron Paul, Dominic Cooper, Imogen Poots, Scott Mescudi","Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins."
Jack Reacher,"Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog",A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.
The Do-Over,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn","Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble."
True Crimes,"Jim Carrey, Charlotte Gainsbourg, Marton Csokas, Kati Outinen","A murder investigation of a slain business man turns to clues found in an author's book about an eerily similar crime. Based on the 2008 article ""True Crimes - A postmodern murder mystery"" by David Grann."
American Pastoral,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert",An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America.
The Ghost Writer,"Ewan McGregor, Pierce Brosnan, Olivia Williams,Jon Bernthal",A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy.
Limitless,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro","With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers."
Spectral,"James Badge Dale, Emily Mortimer, Bruce Greenwood,Max Martini",A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.
P.S. I Love You,"Hilary Swank, Gerard Butler, Harry Connick Jr., Lisa Kudrow",A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.
Zipper,"Patrick Wilson, Lena Headey, Ray Winstone,Richard Dreyfuss",A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.
Midnight Special,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver","A father and son go on the run, pursued by the government and a cult drawn to the child's special powers."
Don't Think Twice,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia,Chris Gethard","When a member of a popular New York City improv troupe gets a huge break, the rest of the group - all best friends - start to realize that not everyone is going to make it after all."
Alice in Wonderland,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
Chuck,"Elisabeth Moss, Naomi Watts, Ron Perlman, Liev Schreiber",A drama inspired by the life of heavyweight boxer Chuck Wepner.
"I, Daniel Blake","Dave Johns, Hayley Squires, Sharon Percy, Briana Shann","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance."
The Break-Up,"Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams","In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment."
Loving,"Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford","The story of Richard and Mildred Loving, a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision."
Fantastic Four,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.
The Survivalist,"Mia Goth, Martin McCann, Barry Ward, Andrew Simpson","In a time of starvation, a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm, he finds his existence threatened."
Colonia,"Emma Watson, Daniel Brühl, Michael Nyqvist,Richenda Carey","A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from."
The Boy Next Door,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett","A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn."
The Gift,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman",A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.
Dracula Untold,"Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson","As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
In the Heart of the Sea,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson,Ben Whishaw","A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick."
Idiocracy,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews","Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive."
The Expendables,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.
Evil Dead,"Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci","Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods."
Sinister,"Ethan Hawke, Juliet Rylance, James Ransone,Fred Dalton Thompson",Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.
Wreck-It Ralph,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Snow White and the Huntsman,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin","In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
Pan,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara","12-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan."
Transformers: Dark of the Moon,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel","The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets."
Juno,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child."
A Hologram for the King,"Tom Hanks, Sarita Choudhury, Ben Whishaw,Alexander Black",A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.
Money Monster,"George Clooney, Julia Roberts, Jack O'Connell,Dominic West",Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.
The Other Woman,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau","After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B."
Enchanted,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil queen, where she falls in love with a lawyer."
The Intern,"Robert De Niro, Anne Hathaway, Rene Russo,Anders Holm","70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin."
Little Miss Sunshine,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Bleed for This,"Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds","The inspirational story of World Champion Boxer Vinny Pazienza who, after a near fatal car crash which left him not knowing if he'd ever walk again, made one of sport's most incredible comebacks."
Clash of the Titans,"Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng","Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth."
The Finest Hours,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana",The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.
Tron,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
The Hunger Games: Catching Fire,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
All Good Things,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe","Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed."
Kickboxer: Vengeance,"Dave Bautista, Alain Moussi, Gina Carano, Jean-Claude Van Damme",A kick boxer is out to avenge his brother.
The Last Airbender,"Noah Ringer, Nicola Peltz, Jackson Rathbone,Dev Patel","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
Sex Tape,"Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper","A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts."
What to Expect When You're Expecting,"Cameron Diaz, Matthew Morrison, J. Todd Smith, Dennis Quaid","Follows the lives of five interconnected couples as they experience the thrills and surprises of having a baby, and realize that no matter what you plan for, life does not always deliver what is expected."
Moneyball,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
Ghost Rider,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long","Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante, to fight against power hungry Blackheart, the son of the devil himself."
Unbroken,"Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund","After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp."
Immortals,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
Sunshine,"Cillian Murphy, Rose Byrne, Chris Evans, Michelle Yeoh",A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
Brave,"Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters","Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
Män som hatar kvinnor,"Michael Nyqvist, Noomi Rapace, Ewa Fröling,Lena Endre",A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker.
Adoration,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville",A pair of childhood friends and neighbors fall for each other's sons.
The Drop,"Tom Hardy, Noomi Rapace, James Gandolfini,Matthias Schoenaerts","Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost."
She's the Man,"Amanda Bynes, Laura Ramsey, Channing Tatum,Vinnie Jones","When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for one of his soccer teammates, and soon learns she's not the only one with romantic troubles."
Daddy's Home,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church","Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns."
Let Me In,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
Never Back Down,"Sean Faris, Djimon Hounsou, Amber Heard, Cam Gigandet",A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.
Grimsby,"Sacha Baron Cohen, Mark Strong, Rebel Wilson,Freddie Crowder",A new assignment forces a top spy to team up with his football hooligan brother.
Moon,"Sam Rockwell, Kevin Spacey, Dominique McElligott,Rosie Shaw","Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
Megamind,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey","The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life."
